,Zip Code,Publication Name,ULCS Code,Income,Denom,Num,Graduation Percent,StudentEnrollment,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,BlackAACount,BlackAAPCT,WhiteCount,WhitePCT,EconDisadvRate,OtherRaceCount,OtherRacePCT,Number of Graduates,First-Fall Matriculation Rate
270,19128,Shawmont School,6380,80803,,,,,,,,,,,,,,,,,,,,,
269,19128,Roxborough High School,6030,80803,248.0,175,70.56,633.0,233.0,36.81,400.0,63.19,278.0,43.92,355.0,56.08,519.0,81.99,38.0,6.0,100.0,76.0,12.02,188.0,26.06
268,19128,Walter B. Saul High School,6040,80803,84.0,80,95.24,414.0,91.0,21.98,323.0,78.02,239.0,57.73,173.0,41.79,266.0,64.25,70.0,16.91,100.0,78.0,18.84,80.0,50.0
275,19127,James Dobson School,6450,81042,,,,,,,,,,,,,,,,,,,,,
276,19129,Thomas Mifflin School,6320,81641,,,,,,,,,,,,,,,,,,,,,
277,19129,A. Philip Randolph Career and Technical High School,6090,81641,54.0,45,83.33,436.0,143.0,32.8,293.0,67.2,156.0,35.78,280.0,64.22,356.0,81.65,11.0,2.52,100.0,69.0,15.82,45.0,15.56
278,19129,Philadelphia Hebrew Public Charter School,3446,81641,,,,,,,,,,,,,,,,,,,,,
285,19123,Young Scholars Charter School,3329,83008,,,,,,,,,,,,,,,,,,,,,
284,19123,"Math, Civics and Sciences Charter School",3321,83008,,,,,,,,,,,,,,,,,,,,,
287,19123,OIC CADI,8070,83008,77.0,14,18.18,153.0,24.0,15.69,129.0,84.31,86.0,56.21,67.0,43.79,133.0,86.93,0.0,0.0,100.0,20.0,13.07,,
283,19123,Ben Franklin High School EOP,3210,83008,42.0,5,11.9,152.0,18.0,11.84,134.0,88.16,85.0,55.92,67.0,44.08,125.0,82.24,1.0,0.66,0.0,26.0,17.11,,
286,19123,Spring Garden School,5560,83008,,,,,,,,,,,,,,,,,,,,,
281,19123,General Philip Kearny School,5480,83008,,,,,,,,,,,,,,,,,,,,,
