,Zip Code,Publication Name,ULCS Code,Income,Denom,Num,Graduation Percent,StudentEnrollment,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,BlackAACount,BlackAAPCT,WhiteCount,WhitePCT,EconDisadvRate,OtherRaceCount,OtherRacePCT,Number of Graduates,First-Fall Matriculation Rate
97,19142,John Bartram High School,1010,37621,157.0,114,72.61,526.0,129.0,24.52,397.0,75.48,241.0,45.82,284.0,53.99,405.0,77.0,1.0,0.19,100.0,120.0,22.81,120.0,25.83
96,19142,William T. Tilden School,1130,37621,,,,,,,,,,,,,,,,,,,,,
99,19142,Thomas G. Morton School,1380,37621,,,,,,,,,,,,,,,,,,,,,
111,19134,Lewis Elkin School,5260,37821,,,,,,,,,,,,,,,,,,,,,
114,19134,Richmond School,5400,37821,,,,,,,,,,,,,,,,,,,,,
113,19134,Frances E. Willard School,5440,37821,,,,,,,,,,,,,,,,,,,,,
112,19134,"Stetson, John B. Middle School",5580,37821,,,,,,,,,,,,,,,,,,,,,
110,19134,Stetson Middle School Continuation Academy,5581,37821,,,,,,,,,,,,,,,,,,,,,
109,19134,Russell H. Conwell School,5230,37821,,,,,,,,,,,,,,,,,,,,,
108,19134,Jules E. Mastbaum Area Vocational Technical High School,5060,37821,105.0,77,73.33,591.0,148.0,25.04,443.0,74.96,260.0,43.99,330.0,55.84,255.0,43.15,27.0,4.57,100.0,309.0,52.28,79.0,20.25
107,19134,John H. Webster School,5590,37821,,,,,,,,,,,,,,,,,,,,,
106,19134,Gloria Casarez Elementary School,5530,37821,,,,,,,,,,,,,,,,,,,,,
105,19134,Memphis Street Academy Charter School at J.P. Jones,3423,37821,,,,,,,,,,,,,,,,,,,,,
104,19134,Deep Roots Charter School,3438,37821,,,,,,,,,,,,,,,,,,,,,
126,19124,Excel Academy South,3290,38293,156.0,14,8.97,207.0,38.0,18.36,169.0,81.64,85.0,41.06,122.0,58.94,100.0,48.31,25.0,12.08,100.0,82.0,39.62,,
127,19124,Community Academy of Philadelphia Charter School,3301,38293,,,,,,,,,,,,,,,,,,,,,
128,19124,One Bright Ray Simpson - Evening,8891,38293,21.0,s,s,131.0,8.0,6.11,123.0,93.89,101.0,77.1,30.0,22.9,53.0,40.46,7.0,5.34,0.0,71.0,54.2,,
125,19124,Mastery Charter School at Smedley,3409,38293,,,,,,,,,,,,,,,,,,,,,
131,19124,One Bright Ray - Simpson Campus,8890,38293,101.0,11,10.89,267.0,32.0,11.99,235.0,88.01,123.0,46.07,144.0,53.93,102.0,38.2,10.0,3.75,0.0,155.0,58.05,,
130,19124,Mariana Bracetti Academy Charter School,3332,38293,,,,,,,,,,,,,,,,,,,,,
129,19124,Northwood Academy Charter School,3386,38293,,,,,,,,,,,,,,,,,,,,,
124,19124,Frankford High School,7010,38293,233.0,131,56.22,861.0,51.0,5.92,810.0,94.08,359.0,41.7,502.0,58.3,347.0,40.3,53.0,6.16,100.0,461.0,53.54,151.0,21.85
116,19124,Samuel Fels High School,7120,38293,235.0,156,66.38,1238.0,226.0,18.26,1012.0,81.74,574.0,46.37,664.0,53.63,475.0,38.37,49.0,3.96,100.0,714.0,57.66,166.0,27.71
122,19124,The Philadelphia Charter School for Arts and Sciences,3422,38293,,,,,,,,,,,,,,,,,,,,,
121,19124,James J. Sullivan School,7430,38293,,,,,,,,,,,,,,,,,,,,,
120,19124,John Marshall School,7360,38293,,,,,,,,,,,,,,,,,,,,,
119,19124,Francis Hopkinson School,7300,38293,,,,,,,,,,,,,,,,,,,,,
118,19124,First Philadelphia Preparatory Charter School,3364,38293,,,,,,,,,,,,,,,,,,,,,
117,19124,Allen M. Stearne School,7290,38293,,,,,,,,,,,,,,,,,,,,,
115,19124,Warren G. Harding School,7110,38293,,,,,,,,,,,,,,,,,,,,,
123,19124,Juniata Park Academy,7150,38293,,,,,,,,,,,,,,,,,,,,,
144,19143,Add B. Anderson School,1460,38928,,,,,,,,,,,,,,,,,,,,,
143,19143,Richard Allen Preparatory Charter School,3359,38928,,,,,,,,,,,,,,,,,,,,,
142,19143,Mastery Charter School at Hardy Williams,3323,38928,,,,,,,,,,,,,,,,,,,,,
140,19143,Mastery Charter School at Harrity,3407,38928,,,,,,,,,,,,,,,,,,,,,
139,19143,Independence Charter School West,3442,38928,,,,,,,,,,,,,,,,,,,,,
138,19143,Global Leadership Academy at Huey,3428,38928,,,,,,,,,,,,,,,,,,,,,
141,19143,Boys Latin of Philadelphia Charter School,3388,38928,,,,,,,,,,,,,,,,,,,,,
136,19143,William C. Bryant School,1230,38928,,,,,,,,,,,,,,,,,,,,,
135,19143,Benjamin B. Comegys School,1260,38928,,,,,,,,,,,,,,,,,,,,,
134,19143,William C. Longstreth School,1350,38928,,,,,,,,,,,,,,,,,,,,,
133,19143,Avery D. Harrington School,1300,38928,,,,,,,,,,,,,,,,,,,,,
132,19143,S. Weir Mitchell School,1370,38928,,,,,,,,,,,,,,,,,,,,,
137,19143,Motivation High School,1190,38928,81.0,76,93.83,239.0,42.0,17.57,197.0,82.43,114.0,47.7,124.0,51.88,221.0,92.47,2.0,0.84,100.0,16.0,6.7,79.0,44.3
156,19131,Mastery Charter School at Shoemaker,3383,42309,,,,,,,,,,,,,,,,,,,,,
155,19131,Mastery Charter School at Mann,3408,42309,,,,,,,,,,,,,,,,,,,,,
154,19131,Discovery Charter School,3372,42309,,,,,,,,,,,,,,,,,,,,,
153,19131,KIPP DuBois Charter School,3353,42309,,,,,,,,,,,,,,,,,,,,,
152,19131,Rudolph Blankenburg School,1490,42309,,,,,,,,,,,,,,,,,,,,,
151,19131,The Science Leadership Academy at Beeber,2680,42309,107.0,103,96.26,558.0,33.0,5.91,525.0,94.09,276.0,49.46,281.0,50.36,425.0,76.16,56.0,10.04,86.88,77.0,13.8,104.0,75.0
149,19131,Samuel Gompers School,4280,42309,,,,,,,,,,,,,,,,,,,,,
148,19131,Guion S. Bluford Elementary School,4520,42309,,,,,,,,,,,,,,,,,,,,,
147,19131,KIPP West Philadelphia Charter School,3443,42309,,,,,,,,,,,,,,,,,,,,,
146,19131,Edward Heston School,4300,42309,,,,,,,,,,,,,,,,,,,,,
145,19131,Overbrook High School,4020,42309,99.0,71,71.72,394.0,89.0,22.59,305.0,77.41,190.0,48.22,204.0,51.78,354.0,89.85,2.0,0.51,100.0,38.0,9.65,73.0,19.18
150,19131,Global Leadership Academy Charter School,3337,42309,,,,,,,,,,,,,,,,,,,,,
162,19122,Philadelphia Military Academy,5050,43981,65.0,60,92.31,320.0,117.0,36.56,203.0,63.44,119.0,37.19,201.0,62.81,202.0,63.13,10.0,3.13,100.0,108.0,33.75,61.0,31.15
163,19122,James R. Ludlow School,5340,43981,,,,,,,,,,,,,,,,,,,,,
161,19122,William McKinley School,5350,43981,,,,,,,,,,,,,,,,,,,,,
164,19122,Paul L. Dunbar School,5250,43981,,,,,,,,,,,,,,,,,,,,,
159,19122,Kensington High School for Creative and Performing Arts,5520,43981,130.0,94,72.31,503.0,135.0,26.84,368.0,73.16,276.0,54.87,227.0,45.13,171.0,34.0,27.0,5.37,100.0,305.0,60.64,101.0,21.78
157,19122,The U School,5620,43981,40.0,29,72.5,204.0,53.0,25.98,151.0,74.02,113.0,55.39,89.0,43.63,154.0,75.49,4.0,1.96,100.0,46.0,22.55,31.0,35.48
160,19122,John Moffet School,5370,43981,,,,,,,,,,,,,,,,,,,,,
158,19122,YouthBuild Philadelphia Charter School,3304,43981,,,,,,,,,,,,,,,,,,,,,
173,19120,"Grover Washington, Jr. School",7370,44195,,,,,,,,,,,,,,,,,,,,,
178,19120,James R. Lowell School,7350,44195,,,,,,,,,,,,,,,,,,,,,
177,19120,Benjamin Franklin School,7280,44195,,,,,,,,,,,,,,,,,,,,,
176,19120,Universal Charter School at Creighton,3421,44195,,,,,,,,,,,,,,,,,,,,,
175,19120,Thomas K. Finletter School,7270,44195,,,,,,,,,,,,,,,,,,,,,
174,19120,Clara Barton School,7200,44195,,,,,,,,,,,,,,,,,,,,,
179,19120,Excel Academy Central,3291,44195,,,,,,,,,,,,,,,,,,,,,
172,19120,Olney HS Continuation Academy,7061,44195,,,,,,,,,,,,,,,,,,,,,
170,19120,Andrew J. Morrison School,7390,44195,,,,,,,,,,,,,,,,,,,,,
169,19120,Olney School,7400,44195,,,,,,,,,,,,,,,,,,,,,
168,19120,Feltonville School of Arts and Sciences,7500,44195,,,,,,,,,,,,,,,,,,,,,
167,19120,Feltonville Intermediate School,7310,44195,,,,,,,,,,,,,,,,,,,,,
166,19120,Thurgood Marshall School,5500,44195,,,,,,,,,,,,,,,,,,,,,
165,19120,Eugenio Maria De Hostos Charter School,3307,44195,,,,,,,,,,,,,,,,,,,,,
171,19120,Olney High School,7060,44195,17.0,s,s,1215.0,274.0,22.55,941.0,77.45,516.0,42.47,699.0,57.53,451.0,37.12,10.0,0.82,100.0,754.0,62.05,,
186,19138,Mastery Charter School at Pastorius,3426,44455,,,,,,,,,,,,,,,,,,,,,
182,19138,West Oak Lane Charter School,3314,44455,,,,,,,,,,,,,,,,,,,,,
187,19138,Parkway Northwest High School,5070,44455,54.0,50,92.59,219.0,32.0,14.61,187.0,85.39,107.0,48.86,112.0,51.14,202.0,92.24,0.0,0.0,100.0,17.0,7.76,50.0,48.0
185,19138,Imhotep Institute Charter High School,3309,44455,,,,,,,,,,,,,,,,,,,,,
180,19138,Anna B. Day School,6200,44455,,,,,,,,,,,,,,,,,,,,,
183,19138,Martin Luther King High School,6060,44455,117.0,53,45.3,538.0,170.0,31.6,368.0,68.4,238.0,44.24,299.0,55.58,492.0,91.45,6.0,1.12,100.0,40.0,7.43,65.0,15.38
181,19138,Building 21,5610,44455,72.0,68,94.44,383.0,97.0,25.33,286.0,74.67,183.0,47.78,200.0,52.22,345.0,90.08,0.0,0.0,100.0,38.0,9.92,71.0,23.94
184,19138,Samuel Pennypacker School,6350,44455,,,,,,,,,,,,,,,,,,,,,
188,19135,Hamilton Disston School,8240,46311,,,,,,,,,,,,,,,,,,,,,
189,19135,MaST Community Charter School II,3440,46311,,,,,,,,,,,,,,,,,,,,,
190,19135,Henry W. Lawton School,7330,46311,,,,,,,,,,,,,,,,,,,,,
191,19135,Keystone Academy Charter School,3389,46311,,,,,,,,,,,,,,,,,,,,,
192,19151,Ad Prima Charter School,3379,49337,,,,,,,,,,,,,,,,,,,,,
193,19151,Robert E. Lamberton School,4320,49337,,,,,,,,,,,,,,,,,,,,,
194,19151,Overbrook Educational Center,4480,49337,,,,,,,,,,,,,,,,,,,,,
195,19151,Harambee Institute of Science and Technology Charter School,3302,49337,,,,,,,,,,,,,,,,,,,,,
196,19151,Lewis C. Cassidy Academics Plus School,4240,49337,,,,,,,,,,,,,,,,,,,,,
197,19151,West Philadelphia Achievement Charter School,3357,49337,,,,,,,,,,,,,,,,,,,,,
198,19151,Overbrook Elementary School,4370,49337,,,,,,,,,,,,,,,,,,,,,
202,19149,Ethan Allen School,8200,50592,,,,,,,,,,,,,,,,,,,,,
203,19149,Solomon Solis-Cohen School,8340,50592,,,,,,,,,,,,,,,,,,,,,
201,19149,Gilbert Spruance School,8350,50592,,,,,,,,,,,,,,,,,,,,,
199,19149,Mayfair School,8300,50592,,,,,,,,,,,,,,,,,,,,,
200,19149,William H. Ziegler School,7460,50592,,,,,,,,,,,,,,,,,,,,,
204,19137,Maritime Academy Charter School (MACHS),3366,52034,,,,,,,,,,,,,,,,,,,,,
205,19137,Bridesburg School,7470,52034,,,,,,,,,,,,,,,,,,,,,
206,19137,Franklin Towne Charter High School,3331,52034,,,,,,,,,,,,,,,,,,,,,
207,19137,Franklin Towne Charter Elementary School,3403,52034,,,,,,,,,,,,,,,,,,,,,
208,19150,John F. McCloskey School,6310,54121,,,,,,,,,,,,,,,,,,,,,
209,19150,Franklin S. Edmonds School,6210,54121,,,,,,,,,,,,,,,,,,,,,
210,19150,Hill-Freedman World Academy,6460,54121,106.0,65,61.32,585.0,175.0,29.91,410.0,70.09,244.0,41.71,339.0,57.95,483.0,82.56,16.0,2.74,100.0,86.0,14.69,102.0,44.12
212,19126,Ellwood School,7260,54936,,,,,,,,,,,,,,,,,,,,,
213,19126,General Louis Wagner School,7130,54936,,,,,,,,,,,,,,,,,,,,,
211,19126,William Rowen School,7530,54936,,,,,,,,,,,,,,,,,,,,,
214,19111,Kennedy C. Crossan School,8230,55569,,,,,,,,,,,,,,,,,,,,,
215,19111,Tacony Academy Charter School,3404,55569,,,,,,,,,,,,,,,,,,,,,
216,19111,Fox Chase School,8260,55569,,,,,,,,,,,,,,,,,,,,,
217,19111,Northeast High School,8020,55569,880.0,641,72.84,3271.0,321.0,9.81,2950.0,90.19,1463.0,44.73,1807.0,55.24,786.0,24.03,483.0,14.77,100.0,2002.0,61.21,659.0,55.39
